{0,4,14,22,24,26,30,36,40}
{0,5,10,15,20,25,30,35,40}
{0,7,25,27,28,32,33,39,40}
{0,8,28,30,32,33,35,36,40}
{0,7,25,27,28,32,33,39,40}
{0,1,36,37,38,39,40,41,42}
{0,2,4,6,8,36,38,40,42}
{0,2,4,6,34,36,38,40,42}
{0,2,4,18,20,22,24,40,42}
{0,2,4,32,34,36,38,40,42}
{0,2,10,20,22,24,30,32,42}
{0,2,18,20,22,24,38,40,42}
{0,2,30,32,34,36,38,40,42}
{0,3,6,9,12,15,36,39,42}
{0,3,6,9,12,33,36,39,42}
{0,3,6,9,30,33,36,39,42}
{0,3,6,27,30,33,36,39,42}
{0,3,9,27,30,33,36,39,42}
{0,3,12,15,18,24,27,39,42}
{0,3,15,18,24,27,30,39,42}
{0,3,24,27,30,33,36,39,42}
{0,4,28,32,34,36,38,40,42}
{0,6,9,12,15,18,33,36,42}
{0,6,9,24,27,30,33,36,42}
{0,6,26,30,32,34,36,40,42}
{0,8,26,28,32,34,36,40,42}
{0,10,12,18,20,22,32,40,42}
{0,1,36,37,38,39,40,41,42}
{0,2,6,34,36,38,40,42,44}
{0,2,10,12,20,24,34,42,44}
{0,2,10,20,24,32,34,42,44}
{0,2,16,18,20,24,26,42,44}
{0,2,18,20,24,26,28,42,44}
{0,2,30,32,34,35,36,42,44}
{0,3,35,36,38,39,41,42,44}
{0,4,8,12,16,32,36,40,44}
{0,4,8,12,28,32,36,40,44}
{0,4,14,16,18,20,26,40,44}
{0,4,18,24,26,28,30,40,44}
{0,4,26,28,30,32,36,40,44}
{0,5,27,29,34,35,39,40,44}
{0,6,20,32,36,38,39,42,44}
{0,6,30,32,36,38,39,42,44}
{0,3,6,9,12,33,39,42,45}
{0,3,6,12,33,36,39,42,45}
{0,3,6,27,33,36,39,42,45}
{0,3,21,24,33,36,39,42,45}
{0,5,10,15,20,25,35,40,45}
{0,5,10,20,25,30,35,40,45}
{0,6,24,27,33,36,39,42,45}
{0,6,26,32,38,39,42,44,45}
{0,6,26,32,38,39,42,44,45}
{0,3,6,9,15,36,39,42,48}
{0,3,6,9,18,21,30,45,48}
{0,3,6,15,33,36,39,45,48}
{0,3,6,15,36,39,42,45,48}
{0,3,9,12,15,33,42,45,48}
{0,3,12,15,18,21,27,45,48}
{0,3,15,21,27,30,33,36,48}
{0,3,15,33,36,39,42,45,48}
{0,3,18,27,30,39,42,45,48}
{0,3,21,24,27,39,42,45,48}
{0,3,21,27,30,33,36,45,48}
{0,3,33,35,36,39,42,45,48}
{0,4,8,12,16,20,28,44,48}
{0,4,8,12,16,20,36,44,48}
{0,4,8,12,16,20,40,44,48}
{0,4,8,12,16,32,40,44,48}
{0,4,8,12,16,36,40,44,48}
{0,4,8,12,20,32,36,44,48}
{0,4,8,12,32,36,40,44,48}
{0,4,8,16,32,36,40,44,48}
{0,4,8,28,32,36,40,44,48}
{0,4,10,32,34,38,42,44,48}
{0,4,12,16,20,28,32,44,48}
{0,4,12,16,28,36,40,44,48}
{0,4,12,28,32,36,40,44,48}
{0,4,16,20,28,32,36,44,48}
{0,4,20,28,32,36,40,44,48}
{0,6,9,12,33,39,42,45,48}
{0,6,12,18,24,30,36,42,48}
{0,6,12,26,38,42,44,45,48}
{0,6,12,33,36,39,42,45,48}
{0,6,18,21,24,27,30,42,48}
{0,6,36,38,39,42,44,45,48}
{0,8,26,30,34,36,42,44,48}
{0,8,28,30,32,36,40,44,48}
{0,9,27,33,36,39,42,45,48}
{0,12,15,18,21,27,33,45,48}
{0,1,43,44,45,46,47,48,49}
{0,1,43,44,45,46,47,48,49}
{0,1,41,42,46,47,48,49,50}
{0,5,10,15,20,25,40,45,50}
{0,5,10,15,20,30,35,45,50}
{0,5,10,15,20,30,40,45,50}
{0,5,10,15,20,35,40,45,50}
{0,5,10,15,25,35,40,45,50}
{0,5,10,15,30,35,40,45,50}
{0,5,10,20,30,35,40,45,50}
{0,5,10,25,30,35,40,45,50}
{0,5,15,20,30,35,40,45,50}
{0,9,39,41,42,44,45,48,50}
{0,1,41,42,46,47,48,49,50}
{0,4,8,32,36,40,44,48,52}
{0,4,24,28,30,40,44,48,52}
