Bad ones for codimension c = 6 up to max degree d = 30
{0,1,31,74,83,89}
{0,1,32,38,79,88}
{0,1,32,46,79,83}
{0,1,32,50,79,83}
{0,1,32,60,79,90}
{0,1,32,74,83,87}
{0,1,33,59,83,90}
{0,1,33,62,79,83}
{0,1,34,47,83,87}
{0,1,34,60,83,87}
{0,1,35,58,83,89}
{0,1,37,59,83,86}
{0,1,37,62,83,89}
{0,1,38,47,79,89}
{0,1,38,53,83,87}
{0,1,38,55,79,87}
{0,1,38,62,79,84}
{0,1,38,62,87,89}
{0,1,38,67,79,85}
{0,1,38,69,79,87}
{0,1,39,62,83,86}
{0,1,39,62,83,87}
{0,1,47,62,79,83}
{0,2,7,46,83,89}
{0,2,10,61,83,89}
{0,2,11,43,85,89}
{0,2,11,61,85,89}
{0,2,13,43,83,89}
{0,2,13,43,85,89}
{0,2,13,75,81,89}
{0,2,14,61,83,87}
{0,2,15,61,83,89}
{0,2,16,39,83,89}
{0,2,16,46,83,89}
{0,2,16,52,83,89}
{0,2,16,59,83,89}
{0,2,16,59,85,89}
{0,2,17,43,79,89}
{0,2,19,43,83,89}
{0,2,19,52,83,89}
{0,2,19,71,83,89}
{0,2,22,43,83,89}
{0,2,22,63,81,89}
{0,2,23,59,85,89}
{0,2,23,73,85,89}
{0,2,25,55,86,89}
{0,2,25,63,85,89}
{0,2,26,38,79,85}
{0,2,26,73,79,85}
{0,2,26,73,85,89}
{0,2,28,43,83,89}
{0,2,28,69,81,85}
{0,2,28,69,81,89}
{0,2,30,46,83,89}
{0,2,31,39,85,88}
{0,2,35,73,85,89}
{0,2,36,48,79,89}
{0,2,36,73,79,89}
{0,2,37,59,83,89}
{0,2,38,61,79,85}
{0,2,38,61,83,89}
{0,2,39,43,81,89}
{0,2,39,61,81,85}
{0,2,39,73,81,89}
{0,2,40,61,83,89}
{0,2,41,46,83,89}
{0,2,41,64,83,88}
{0,2,43,49,81,89}
{0,2,43,51,83,89}
{0,2,43,55,80,89}
{0,2,43,59,79,89}
{0,2,43,61,81,89}
{0,2,43,61,83,89}
{0,2,43,61,85,89}
{0,2,43,63,81,89}
{0,2,43,64,81,89}
{0,2,43,67,83,89}
{0,2,43,73,79,89}
{0,2,43,73,81,89}
{0,2,43,73,85,89}
{0,2,43,75,81,89}
{0,2,43,76,83,89}
{0,2,43,76,85,89}
{0,2,46,49,83,89}
{0,2,46,59,83,89}
{0,2,46,73,85,89}
{0,2,48,61,79,85}
{0,2,49,61,80,83}
{0,2,49,61,83,89}
{0,2,51,73,81,89}
{0,2,52,61,83,89}
{0,3,11,62,82,89}
{0,3,16,53,82,89}
{0,3,16,62,82,89}
{0,3,16,64,82,89}
{0,3,16,74,82,89}
{0,3,17,50,79,89}
{0,3,20,50,82,89}
{0,3,20,56,82,89}
{0,3,20,64,82,89}
{0,3,22,53,81,89}
{0,3,22,53,83,89}
{0,3,22,62,82,89}
{0,3,22,71,83,89}
{0,3,23,53,82,89}
{0,3,23,61,82,89}
{0,3,23,62,79,89}
{0,3,25,61,82,89}
{0,3,25,62,85,89}
{0,3,26,47,79,89}
{0,3,26,62,79,86}
{0,3,26,62,79,89}
{0,3,26,67,83,89}
{0,3,29,51,82,89}
{0,3,29,62,82,89}
{0,3,29,62,85,89}
{0,3,29,67,82,89}
{0,3,31,67,82,89}
{0,3,32,71,82,89}
{0,3,36,65,82,89}
{0,3,36,74,82,89}
{0,3,36,76,82,89}
{0,3,37,58,83,89}
{0,3,37,61,82,89}
{0,3,37,62,83,89}
{0,3,37,67,82,89}
{0,3,47,62,79,89}
{0,3,49,62,79,89}
{0,3,53,71,82,89}
{0,3,58,76,82,89}
{0,4,11,57,83,86}
{0,4,15,57,83,86}
{0,4,16,47,83,89}
{0,4,16,62,83,89}
{0,4,17,71,83,90}
{0,4,19,37,83,86}
{0,4,22,41,83,89}
{0,4,22,43,83,89}
{0,4,22,46,83,89}
{0,4,23,71,82,85}
{0,4,27,33,86,89}
{0,4,27,53,86,87}
{0,4,27,57,83,86}
{0,4,27,57,86,89}
{0,4,27,61,83,86}
{0,4,29,37,83,86}
{0,4,29,42,83,89}
{0,4,29,57,83,89}
{0,4,29,61,83,89}
{0,4,31,42,83,89}
{0,4,31,46,83,89}
{0,4,31,61,83,89}
{0,4,33,71,83,89}
{0,4,35,57,83,86}
{0,4,37,53,83,89}
{0,4,37,57,83,86}
{0,4,37,58,83,89}
{0,4,37,62,83,89}
{0,4,39,71,83,89}
{0,4,41,53,79,87}
{0,4,41,53,79,89}
{0,4,41,57,83,89}
{0,4,41,57,83,90}
{0,4,41,63,87,89}
{0,4,41,67,79,89}
{0,4,42,71,83,89}
{0,4,43,61,83,89}
{0,4,43,62,83,89}
{0,4,46,57,83,89}
{0,4,46,59,83,89}
{0,4,57,63,86,89}
{0,5,17,46,79,89}
{0,5,17,46,83,89}
{0,5,22,46,83,89}
{0,5,22,53,79,89}
{0,5,26,43,79,87}
{0,6,13,43,79,89}
{0,6,13,59,79,89}
{0,6,13,67,85,89}
{0,6,17,43,79,89}
{0,6,17,47,79,89}
{0,6,17,49,79,89}
{0,6,17,53,79,89}
{0,6,18,37,79,89}
{0,6,18,47,79,89}
{0,6,18,47,85,89}
{0,6,19,43,87,89}
{0,6,19,67,79,89}
{0,6,20,53,79,87}
{0,6,20,53,79,89}
{0,6,22,43,79,89}
{0,6,22,53,79,89}
{0,6,22,53,82,89}
{0,6,22,58,79,89}
{0,6,22,59,79,89}
{0,6,22,59,85,89}
{0,6,23,32,79,89}
{0,6,23,37,79,89}
{0,6,23,47,79,89}
{0,6,23,53,79,82}
{0,6,23,53,79,89}
{0,6,23,53,82,89}
{0,6,23,59,79,89}
