{0,20,55,70,75,80}
{0,12,72,75,77,78}
{0,3,39,45,81,84}
{0,5,15,65,75,80}
{0,5,25,55,75,80}
{0,5,35,45,75,80}
{0,5,65,70,75,80}
{0,7,35,49,77,84}
{0,7,63,70,77,84}
{0,8,32,48,72,80}
{0,10,20,30,70,80}
{0,10,30,50,70,80}
{0,10,50,60,70,80}
{0,12,24,60,72,84}
{0,12,30,54,72,84}
{0,12,68,72,80,84}
{0,14,26,54,66,80}
{0,14,28,42,70,84}
{0,14,28,56,70,84}
{0,14,42,56,70,84}
{0,16,24,56,64,80}
{0,16,32,48,64,80}
{0,16,56,64,72,80}
{0,17,34,51,68,85}
{0,18,24,60,66,84}
{0,18,45,63,72,81}
{0,20,55,70,75,80}
{0,4,40,48,84,88}
{0,9,36,54,81,90}
{0,11,22,33,77,88}
{0,11,33,55,77,88}
{0,11,55,66,77,88}
{0,12,66,72,78,90}
{0,15,30,45,75,90}
{0,15,30,60,75,90}
{0,15,45,60,75,90}
{0,16,28,60,72,88}
{0,17,34,51,68,85}
{0,18,27,63,72,90}
{0,18,36,54,72,90}
{0,18,63,72,81,90}
{0,20,50,70,80,90}
{0,9,36,54,81,90}
{0,12,66,72,78,90}
{0,13,26,65,78,91}
{0,15,30,45,75,90}
{0,15,30,60,75,90}
{0,15,45,60,75,90}
{0,18,27,63,72,90}
{0,18,36,54,72,90}
{0,18,63,72,81,90}
{0,19,38,57,76,95}
{0,20,50,70,80,90}
{0,6,18,78,90,96}
{0,6,30,66,90,96}
{0,6,42,54,90,96}
{0,6,78,84,90,96}
{0,8,40,56,88,96}
{0,8,72,80,88,96}
{0,10,40,60,90,100}
{0,12,24,36,84,96}
{0,12,36,60,84,96}
{0,12,60,72,84,96}
{0,14,28,70,84,98}
{0,14,35,63,84,98}
{0,15,33,63,81,96}
{0,16,32,48,80,96}
{0,16,32,64,80,96}
{0,16,48,64,80,96}
{0,19,38,57,76,95}
{0,20,30,70,80,100}
{0,20,40,60,80,100}
{0,20,70,80,90,100}
{0,20,76,80,84,96}
{0,21,28,70,77,98}
{0,22,55,77,88,99}
{0,24,66,84,90,96}
{0,24,72,80,84,96}
{0,27,90,91,92,96}
{0,3,48,54,99,102}
{0,7,97,98,104,105}
{0,8,44,60,96,104}
{0,10,40,60,90,100}
{0,12,39,63,90,102}
{0,13,26,39,91,104}
{0,13,39,65,91,104}
{0,13,65,78,91,104}
{0,14,77,84,91,105}
{0,15,30,75,90,105}
{0,15,81,96,99,105}
{0,15,85,90,100,105}
{0,17,34,51,85,102}
{0,17,34,68,85,102}
{0,17,51,68,85,102}
{0,20,30,70,80,100}
{0,20,32,72,84,104}
{0,20,40,60,80,100}
{0,20,70,80,90,100}
{0,21,30,72,81,102}
{0,21,42,63,84,105}
{0,27,77,90,104,105}
{0,7,97,98,104,105}
{0,27,77,90,104,105}
{0,5,50,60,105,110}
{0,7,97,98,104,105}
{0,9,45,63,99,108}
{0,9,72,99,105,108}
{0,9,81,90,99,108}
{0,10,98,100,108,110}
{0,11,44,66,99,110}
{0,14,77,84,91,105}
{0,15,30,75,90,105}
{0,15,81,96,99,105}
{0,15,85,90,100,105}
{0,18,36,54,90,108}
{0,18,36,72,90,108}
{0,18,54,72,90,108}
{0,20,35,75,90,110}
{0,21,42,63,84,105}
{0,22,33,77,88,110}
{0,22,44,66,88,110}
{0,22,77,88,99,110}
{0,24,60,84,96,108}
{0,24,90,99,105,108}
{0,27,77,90,104,105}
{0,7,97,98,104,105}
{0,27,77,90,104,105}
{0,4,52,60,108,112}
{0,5,50,60,105,110}
{0,7,21,91,105,112}
{0,7,35,77,105,112}
{0,7,49,63,105,112}
{0,7,91,98,105,112}
{0,10,98,100,108,110}
{0,11,44,66,99,110}
{0,14,28,42,98,112}
{0,14,42,70,98,112}
{0,14,70,84,98,112}
{0,15,42,72,99,114}
{0,16,32,80,96,112}
{0,16,40,72,96,112}
{0,19,38,57,95,114}
{0,19,38,76,95,114}
{0,19,57,76,95,114}
{0,20,35,75,90,110}
{0,22,33,77,88,110}
{0,22,44,66,88,110}
{0,22,77,88,99,110}
{0,23,46,69,92,115}
{0,24,32,80,88,112}
{0,24,33,81,90,114}
{0,28,77,98,105,112}
{0,10,50,70,110,120}
{0,10,90,100,110,120}
{0,12,48,72,108,120}
{0,15,30,45,105,120}
{0,15,45,75,105,120}
{0,15,75,90,105,120}
{0,16,88,96,104,120}
{0,17,34,85,102,119}
{0,20,40,60,100,120}
{0,20,40,80,100,120}
{0,20,60,80,100,120}
{0,21,39,81,99,120}
{0,23,46,69,92,115}
{0,24,36,84,96,120}
{0,24,48,72,96,120}
{0,24,84,96,108,120}
{0,25,95,100,105,120}
{0,26,65,91,104,117}
{0,30,90,100,105,120}
{0,10,50,70,110,120}
{0,10,90,100,110,120}
{0,12,48,72,108,120}
{0,15,30,45,105,120}
{0,15,45,75,105,120}
{0,15,75,90,105,120}
{0,16,88,96,104,120}
{0,20,40,60,100,120}
{0,20,40,80,100,120}
{0,20,60,80,100,120}
{0,21,39,81,99,120}
{0,24,36,84,96,120}
{0,24,48,72,96,120}
{0,24,84,96,108,120}
{0,25,50,75,100,125}
{0,25,95,100,105,120}
{0,30,90,100,105,120}
{0,8,24,104,120,128}
{0,8,40,88,120,128}
{0,8,56,72,120,128}
{0,8,104,112,120,128}
{0,10,55,75,120,130}
{0,13,52,78,117,130}
{0,16,32,48,112,128}
{0,16,48,80,112,128}
{0,16,80,96,112,128}
{0,18,36,90,108,126}
{0,18,45,81,108,126}
{0,18,102,108,120,126}
{0,20,44,84,108,128}
{0,21,42,63,105,126}
{0,21,42,84,105,126}
{0,21,63,84,105,126}
{0,25,40,90,105,130}
{0,25,50,75,100,125}
{0,26,39,91,104,130}
{0,26,52,78,104,130}
{0,26,91,104,117,130}
{0,27,36,90,99,126}
{0,28,70,98,112,126}
{0,32,88,112,120,128}
{0,1,2,3,4,5}
{0,1,2,3,4,5}
{0,6,60,72,126,132}
{0,11,55,77,121,132}
{0,11,99,110,121,132}
{0,18,99,108,117,135}
{0,19,38,95,114,133}
{0,22,44,66,110,132}
{0,22,44,88,110,132}
{0,22,66,88,110,132}
{0,24,42,90,108,132}
{0,27,54,81,108,135}
{0,30,75,105,120,135}
{0,4,64,72,132,136}
{0,5,65,75,135,140}
{0,14,56,84,126,140}
{0,16,52,84,120,136}
{0,17,34,51,119,136}
{0,17,51,85,119,136}
{0,17,85,102,119,136}
{0,20,40,100,120,140}
{0,20,50,90,120,140}
{0,20,108,128,132,140}
{0,23,46,69,115,138}
{0,23,46,92,115,138}
{0,23,69,92,115,138}
{0,28,40,96,108,136}
{0,28,42,98,112,140}
{0,28,56,84,112,140}
{0,28,98,112,126,140}
{0,30,40,100,110,140}
{0,30,110,126,128,140}
{0,35,105,119,120,140}
{0,9,27,117,135,144}
{0,9,45,99,135,144}
{0,9,63,81,135,144}
{0,9,117,126,135,144}
{0,12,60,84,132,144}
{0,12,96,132,140,144}
{0,12,108,120,132,144}
{0,18,36,54,126,144}
{0,18,54,90,126,144}
{0,18,90,108,126,144}
{0,24,48,72,120,144}
{0,24,48,96,120,144}
{0,24,72,96,120,144}
{0,29,58,87,116,145}
{0,30,114,120,126,144}
{0,32,80,112,128,144}
{0,32,120,132,140,144}
{0,36,99,126,135,144}
{0,36,108,120,126,144}
{0,15,60,90,135,150}
{0,20,110,120,130,150}
{0,21,42,105,126,147}
{0,21,119,126,140,147}
{0,25,50,75,125,150}
{0,25,50,100,125,150}
{0,25,75,100,125,150}
{0,30,45,105,120,150}
{0,30,60,90,120,150}
{0,30,105,120,135,150}
{0,7,70,84,147,154}
{0,19,38,57,133,152}
{0,19,57,95,133,152}
{0,19,95,114,133,152}
{0,20,56,96,132,152}
{0,22,44,110,132,154}
{0,22,55,99,132,154}
{0,28,49,105,126,154}
{0,31,62,93,124,155}
{0,32,44,108,120,152}
{0,33,44,110,121,154}
{0,34,85,119,136,153}
{0,10,30,130,150,160}
{0,10,50,110,150,160}
{0,10,70,90,150,160}
{0,10,130,140,150,160}
{0,12,66,90,144,156}
{0,13,65,91,143,156}
{0,13,117,130,143,156}
{0,14,140,142,144,156}
{0,16,64,96,144,160}
{0,20,40,60,140,160}
{0,20,60,100,140,160}
{0,20,100,120,140,160}
{0,24,144,150,154,156}
{0,25,55,105,135,160}
{0,26,52,78,130,156}
{0,26,52,104,130,156}
{0,26,78,104,130,156}
{0,28,52,108,132,160}
{0,30,48,108,126,156}
{0,32,48,112,128,160}
{0,32,64,96,128,160}
{0,32,112,128,144,160}
{0,40,110,140,150,160}
{0,15,147,150,162,165}
{0,22,121,132,143,165}
{0,23,46,115,138,161}
{0,27,54,81,135,162}
{0,27,54,108,135,162}
{0,27,81,108,135,162}
{0,33,66,99,132,165}
{0,36,90,126,144,162}
{0,5,80,90,165,170}
{0,6,78,90,162,168}
{0,14,70,98,154,168}
{0,14,126,140,154,168}
{0,17,68,102,153,170}
{0,20,65,105,150,170}
{0,21,42,63,147,168}
{0,21,63,105,147,168}
{0,21,105,126,147,168}
{0,24,48,120,144,168}
{0,24,60,108,144,168}
{0,24,136,144,160,168}
{0,28,56,84,140,168}
{0,28,56,112,140,168}
{0,28,84,112,140,168}
{0,34,51,119,136,170}
{0,34,68,102,136,170}
{0,34,119,136,153,170}
{0,35,50,120,135,170}
{0,35,133,140,147,168}
{0,36,48,120,132,168}
{0,42,126,140,147,168}
